sessionID,rankInSession,IpID,theTime,type,ID,templateID
---------,-------------,----,-------,----,--,----------
1,1,0,2003-02-09 20:02:15.000,1,99042076,0
1,2,0,2003-02-09 20:02:15.000,1,99042077,0
2,1,12825,2008-04-21 13:04:05.000,1,114181417,0
2,2,12825,2008-04-21 13:04:06.000,1,114181502,0
2,3,12825,2008-04-21 13:04:10.000,1,114181416,0
2,4,12825,2008-04-21 13:04:15.000,1,114181415,0
2,5,12825,2008-04-21 13:04:15.000,1,114181501,0
2,6,12825,2008-04-21 13:04:22.000,1,114181414,0
2,7,12825,2008-04-21 13:04:26.000,1,116025663,0
2,8,12825,2008-04-21 13:04:34.000,1,114181413,0
2,9,12825,2008-04-21 13:04:34.000,1,116025662,0
2,10,12825,2008-04-21 13:04:40.000,1,114181412,0
2,11,12825,2008-04-21 13:04:58.000,1,114181418,0

(rows affected)
